"State Historical Tables for 2017
Released: September 2018
Next Update: November 2019",,,,
YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION for ELECTRICITY
1990,FL,Total Electric Power Industry,Natural Gas (Mcf),"200,576,189"
1990,FL,"Electric Generators, Electric Utilities",Coal (Short Tons),"24,022,157"
1990,FL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"40,620,360"
1990,FL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"189,148,212"
1990,FL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"3,810"
1990,FL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"16,780"
1990,FL,"Combined Heat and Power, Electric Power",Coal (Short Tons),"272,280"
1990,FL,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"7,222"
1990,FL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"10,778"
1990,FL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"1,989,906"
1990,FL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"164,299"
1990,FL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"759,751"
1990,FL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"9,421,291"
1990,GA,Total Electric Power Industry,Coal (Short Tons),"28,228,783"
1990,GA,Total Electric Power Industry,Petroleum (Barrels),"1,021,591"
1990,GA,Total Electric Power Industry,Natural Gas (Mcf),"7,667,165"
1990,GA,"Electric Generators, Electric Utilities",Coal (Short Tons),"27,812,391"
1990,GA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"332,943"
1990,GA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,932,073"
1990,GA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),30
1990,GA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),140
1990,GA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"4,267"
1990,GA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"1,540"
1990,GA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"416,392"
1990,GA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"684,351"
1990,GA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"5,733,412"
