"State Historical Tables for 2017
Released: September 2018
Next Update: November 2019",,,,
YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION for ELECTRICITY
2004,CO,Total Electric Power Industry,Natural Gas (Mcf),"82,578,676"
2004,CO,Total Electric Power Industry,Other Gases (Billion BTU),14
2004,CO,"Electric Generators, Electric Utilities",Coal (Short Tons),"18,956,738"
2004,CO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"30,094"
2004,CO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"30,777,508"
2004,CO,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),14
2004,CO,"Electric Generators, Independent Power Producers",Petroleum (Barrels),806
2004,CO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"40,069,174"
2004,CO,"Combined Heat and Power, Electric Power",Coal (Short Tons),"66,275"
2004,CO,"Combined Heat and Power, Electric Power",Petroleum (Barrels),670
2004,CO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"10,585,234"
2004,CO,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),0
2004,CO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),83
2004,CO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"649,421"
2004,CO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),559
2004,CO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"497,339"
2004,CT,Total Electric Power Industry,Coal (Short Tons),"2,053,064"
2004,CT,Total Electric Power Industry,Petroleum (Barrels),"2,887,531"
2004,CT,Total Electric Power Industry,Natural Gas (Mcf),"57,703,184"
2004,CT,Total Electric Power Industry,Other Gases (Billion BTU),0
2004,CT,"Electric Generators, Electric Utilities",Petroleum (Barrels),"24,426"
2004,CT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,453,139"
2004,CT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"2,746,245"
2004,CT,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"54,549,769"
2004,CT,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),0
2004,CT,"Combined Heat and Power, Electric Power",Coal (Short Tons),"599,925"
2004,CT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"10,975"
2004,CT,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,383,110"
2004,CT,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,480"
2004,CT,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"253,599"
2004,CT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"104,405"
2004,CT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"516,707"
2004,DC,Total Electric Power Industry,Petroleum (Barrels),"129,712"
2004,DC,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"129,712"
2004,DE,Total Electric Power Industry,Coal (Short Tons),"2,075,588"
2004,DE,Total Electric Power Industry,Petroleum (Barrels),"1,410,037"
2004,DE,Total Electric Power Industry,Natural Gas (Mcf),"13,298,786"
2004,DE,Total Electric Power Industry,Other Gases (Billion BTU),"1,659"
2004,DE,"Electric Generators, Electric Utilities",Petroleum (Barrels),"15,121"
2004,DE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"135,890"
2004,DE,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,994,794"
2004,DE,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,182,249"
2004,DE,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"12,733,519"
2004,DE,"Combined Heat and Power, Electric Power",Coal (Short Tons),"53,671"
2004,DE,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"2,300"
2004,DE,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"184,422"
2004,DE,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"27,124"
2004,DE,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"210,367"
2004,DE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"244,954"
2004,DE,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"1,659"
2004,FL,Total Electric Power Industry,Coal (Short Tons),"27,160,299"
2004,FL,Total Electric Power Industry,Petroleum (Barrels),"60,892,161"
2004,FL,Total Electric Power Industry,Natural Gas (Mcf),"589,846,441"
2004,FL,Total Electric Power Industry,Other Gases (Billion BTU),79
2004,FL,"Electric Generators, Electric Utilities",Coal (Short Tons),"25,464,307"
2004,FL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"58,586,461"
2004,FL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"507,284,242"
2004,FL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"2,010,152"
2004,FL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"48,852,868"
2004,FL,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),1
2004,FL,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,644,946"
2004,FL,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"24,899"
2004,FL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"27,312,509"
2004,FL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2004,FL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"261,185"
2004,FL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"51,046"
2004,FL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"270,649"
2004,FL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"6,135,637"
2004,FL,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),78
2004,GA,Total Electric Power Industry,Coal (Short Tons),"36,263,247"
2004,GA,Total Electric Power Industry,Petroleum (Barrels),"1,000,853"
2004,GA,Total Electric Power Industry,Natural Gas (Mcf),"46,676,044"
2004,GA,"Electric Generators, Electric Utilities",Coal (Short Tons),"36,093,848"
2004,GA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"330,424"
2004,GA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"16,472,220"
2004,GA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"6,401"
2004,GA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"28,773,292"
2004,GA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2004,GA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"217,847"
2004,GA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"5,309"
2004,GA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"169,399"
2004,GA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"658,719"
2004,GA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,212,686"
2004,HI,Total Electric Power Industry,Coal (Short Tons),"702,545"
2004,HI,Total Electric Power Industry,Petroleum (Barrels),"13,995,473"
2004,HI,Total Electric Power Industry,Other Gases (Billion BTU),269
2004,HI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"12,046,236"
2004,HI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"702,545"
2004,HI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"1,785,942"
2004,HI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"3,457"
2004,HI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"159,838"
2004,HI,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),269
2004,IA,Total Electric Power Industry,Coal (Short Tons),"22,308,545"
2004,IA,Total Electric Power Industry,Petroleum (Barrels),"246,745"
2004,IA,Total Electric Power Industry,Natural Gas (Mcf),"8,342,770"
2004,IA,"Electric Generators, Electric Utilities",Coal (Short Tons),"21,873,260"
2004,IA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"235,881"
2004,IA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"8,289,816"
2004,IA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"4,902"
2004,IA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),300
2004,IA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"54,095"
2004,IA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"5,895"
2004,IA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"52,597"
2004,IA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"381,190"
2004,IA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),67
2004,IA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),57
2004,ID,Total Electric Power Industry,Coal (Short Tons),"23,411"
2004,ID,Total Electric Power Industry,Petroleum (Barrels),255
2004,ID,Total Electric Power Industry,Natural Gas (Mcf),"11,688,898"
2004,ID,"Electric Generators, Electric Utilities",Petroleum (Barrels),255
2004,ID,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"370,023"
2004,ID,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"9,796,372"
2004,ID,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"956,151"
2004,ID,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"23,411"
2004,ID,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2004,ID,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"566,352"
2004,IL,Total Electric Power Industry,Coal (Short Tons),"54,706,107"
2004,IL,Total Electric Power Industry,Petroleum (Barrels),"1,546,614"
2004,IL,Total Electric Power Industry,Natural Gas (Mcf),"27,998,299"
2004,IL,Total Electric Power Industry,Other Gases (Billion BTU),"1,868"
2004,IL,"Electric Generators, Electric Utilities",Coal (Short Tons),"10,883,488"
2004,IL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"260,048"
2004,IL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"762,262"
2004,IL,"Electric Generators, Independent Power Producers",Coal (Short Tons),"43,194,601"
2004,IL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,258,829"
2004,IL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"17,169,763"
2004,IL,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2004,IL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,768,340"
2004,IL,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),411
2004,IL,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"19,239"
2004,IL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"11,769"
2004,IL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"4,406,665"
2004,IL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"608,779"
2004,IL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"15,967"
2004,IL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"2,891,269"
2004,IL,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"1,457"
2004,IN,Total Electric Power Industry,Coal (Short Tons),"59,396,035"
2004,IN,Total Electric Power Industry,Petroleum (Barrels),"814,703"
2004,IN,Total Electric Power Industry,Natural Gas (Mcf),"23,765,735"
2004,IN,Total Electric Power Industry,Other Gases (Billion BTU),"29,537"
2004,IN,"Electric Generators, Electric Utilities",Coal (Short Tons),"55,561,008"
2004,IN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"782,830"
2004,IN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"9,235,788"
2004,IN,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,623,680"
2004,IN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,246,116"
2004,IN,"Combined Heat and Power, Electric Power",Coal (Short Tons),"2,147,179"
2004,IN,"Combined Heat and Power, Electric Power",Petroleum (Barrels),124
2004,IN,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"9,914,451"
2004,IN,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),180
2004,IN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"51,575"
2004,IN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,376"
2004,IN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"67,286"
2004,IN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"12,592"
2004,IN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"30,374"
2004,IN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"2,302,094"
2004,IN,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"29,357"
2004,KS,Total Electric Power Industry,Coal (Short Tons),"22,138,569"
2004,KS,Total Electric Power Industry,Petroleum (Barrels),"1,614,892"
2004,KS,Total Electric Power Industry,Natural Gas (Mcf),"10,529,676"
2004,KS,"Electric Generators, Electric Utilities",Coal (Short Tons),"22,138,569"
2004,KS,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,614,877"
2004,KS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"10,473,527"
2004,KS,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),15
2004,KS,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"2,949"
2004,KS,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2004,KS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"53,200"
2004,KY,Total Electric Power Industry,Coal (Short Tons),"39,342,392"
2004,KY,Total Electric Power Industry,Petroleum (Barrels),"7,350,609"
2004,KY,Total Electric Power Industry,Natural Gas (Mcf),"6,028,422"
2004,KY,Total Electric Power Industry,Other Gases (Billion BTU),18
2004,KY,"Electric Generators, Electric Utilities",Coal (Short Tons),"35,535,592"
2004,KY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"184,755"
2004,KY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"4,565,304"
2004,KY,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),18
2004,KY,"Electric Generators, Independent Power Producers",Coal (Short Tons),"3,806,800"
2004,KY,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"7,165,854"
2004,KY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"267,290"
2004,KY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,195,828"
2004,LA,Total Electric Power Industry,Coal (Short Tons),"15,984,117"
2004,LA,Total Electric Power Industry,Petroleum (Barrels),"6,920,102"
2004,LA,Total Electric Power Industry,Natural Gas (Mcf),"402,300,490"
2004,LA,Total Electric Power Industry,Other Gases (Billion BTU),"23,117"
2004,LA,"Electric Generators, Electric Utilities",Coal (Short Tons),"8,141,544"
2004,LA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"6,492,814"
2004,LA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"159,321,588"
2004,LA,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),"5,105"
2004,LA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"7,833,859"
2004,LA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"26,222"
2004,LA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"38,632,284"
2004,LA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"31,662,419"
2004,LA,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),783
2004,LA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"122,360"
2004,LA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"8,714"
2004,LA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"401,066"
2004,LA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"172,561,839"
2004,LA,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"17,228"
2004,MA,Total Electric Power Industry,Coal (Short Tons),"4,363,094"
2004,MA,Total Electric Power Industry,Petroleum (Barrels),"11,857,383"
2004,MA,Total Electric Power Industry,Natural Gas (Mcf),"159,631,274"
2004,MA,"Electric Generators, Electric Utilities",Coal (Short Tons),"388,609"
2004,MA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"483,687"
2004,MA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"929,693"
2004,MA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"3,967,936"
2004,MA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"10,666,204"
2004,MA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"122,496,727"
2004,MA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"110,983"
2004,MA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"31,943,148"
2004,MA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"412,459"
2004,MA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"3,530,497"
2004,MA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"6,549"
2004,MA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"184,051"
2004,MA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"731,209"
2004,MD,Total Electric Power Industry,Coal (Short Tons),"11,608,446"
2004,MD,Total Electric Power Industry,Petroleum (Barrels),"5,672,819"
2004,MD,Total Electric Power Industry,Natural Gas (Mcf),"9,994,238"
2004,MD,Total Electric Power Industry,Other Gases (Billion BTU),"5,127"
2004,MD,"Electric Generators, Electric Utilities",Petroleum (Barrels),"54,938"
2004,MD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),0
2004,MD,"Electric Generators, Independent Power Producers",Coal (Short Tons),"10,896,173"
2004,MD,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"5,492,941"
2004,MD,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"4,306,395"
2004,MD,"Combined Heat and Power, Electric Power",Coal (Short Tons),"656,306"
2004,MD,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"71,456"
2004,MD,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"5,287,109"
2004,MD,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),"5,127"
2004,MD,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),683
2004,MD,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2004,MD,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"55,967"
2004,MD,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"52,802"
2004,MD,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"400,734"
2004,ME,Total Electric Power Industry,Coal (Short Tons),"140,792"
2004,ME,Total Electric Power Industry,Petroleum (Barrels),"1,882,358"
2004,ME,Total Electric Power Industry,Natural Gas (Mcf),"70,062,706"
2004,ME,Total Electric Power Industry,Other Gases (Billion BTU),1
2004,ME,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,998"
2004,ME,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,328,616"
2004,ME,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"54,052,008"
2004,ME,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),1
2004,ME,"Combined Heat and Power, Electric Power",Coal (Short Tons),"36,753"
2004,ME,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"4,587"
2004,ME,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"3,222,546"
2004,ME,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"8,759"
2004,ME,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"22,680"
2004,ME,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"104,039"
2004,ME,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"538,398"
2004,ME,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"12,765,472"
2004,MI,Total Electric Power Industry,Coal (Short Tons),"35,555,282"
2004,MI,Total Electric Power Industry,Petroleum (Barrels),"1,701,323"
2004,MI,Total Electric Power Industry,Natural Gas (Mcf),"110,540,570"
2004,MI,Total Electric Power Industry,Other Gases (Billion BTU),"3,023"
2004,MI,"Electric Generators, Electric Utilities",Coal (Short Tons),"35,052,623"
2004,MI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,490,505"
2004,MI,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"9,300,232"
2004,MI,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),6
2004,MI,"Electric Generators, Independent Power Producers",Coal (Short Tons),"24,989"
2004,MI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),500
2004,MI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"6,675,955"
2004,MI,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),0
2004,MI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"233,157"
2004,MI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"19,203"
2004,MI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"90,941,556"
2004,MI,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),"3,017"
2004,MI,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"49,781"
2004,MI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),147
2004,MI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"247,939"
2004,MI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"194,731"
2004,MI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"190,968"
2004,MI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"3,374,888"
2004,MN,Total Electric Power Industry,Coal (Short Tons),"20,623,375"
2004,MN,Total Electric Power Industry,Petroleum (Barrels),"1,417,275"
2004,MN,Total Electric Power Industry,Natural Gas (Mcf),"13,036,374"
2004,MN,"Electric Generators, Electric Utilities",Coal (Short Tons),"19,147,290"
2004,MN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,378,223"
2004,MN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"9,542,524"
2004,MN,"Electric Generators, Independent Power Producers",Coal (Short Tons),"922,791"
2004,MN,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"4,104"
2004,MN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"192,871"
2004,MN,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"9,391"
2004,MN,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,147,161"
2004,MN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"6,543"
2004,MN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"484,450"
2004,MN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"553,294"
2004,MN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"19,015"
2004,MN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"669,368"
2004,MO,Total Electric Power Industry,Coal (Short Tons),"44,485,018"
2004,MO,Total Electric Power Industry,Petroleum (Barrels),"375,776"
2004,MO,Total Electric Power Industry,Natural Gas (Mcf),"23,227,941"
2004,MO,Total Electric Power Industry,Other Gases (Billion BTU),19
2004,MO,"Electric Generators, Electric Utilities",Coal (Short Tons),"44,379,479"
2004,MO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"374,890"
2004,MO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"16,176,640"
2004,MO,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),19
2004,MO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"6,391,887"
2004,MO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"525,994"
2004,MO,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"39,914"
2004,MO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),250
2004,MO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"63,561"
2004,MO,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"65,625"
2004,MO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),637
2004,MO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"69,860"
2004,MS,Total Electric Power Industry,Coal (Short Tons),"9,951,133"
2004,MS,Total Electric Power Industry,Petroleum (Barrels),"4,507,343"
2004,MS,Total Electric Power Industry,Natural Gas (Mcf),"108,480,610"
2004,MS,Total Electric Power Industry,Other Gases (Billion BTU),195
2004,MS,"Electric Generators, Electric Utilities",Coal (Short Tons),"6,377,169"
2004,MS,"Electric Generators, Electric Utilities",Petroleum (Barrels),"4,492,662"
2004,MS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"65,230,746"
2004,MS,"Electric Generators, Independent Power Producers",Coal (Short Tons),"3,572,340"
2004,MS,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"42,201,212"
2004,MS,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"120,223"
2004,MS,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"1,624"
2004,MS,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"14,681"
2004,MS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"928,428"
2004,MS,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),195
2004,MT,Total Electric Power Industry,Coal (Short Tons),"11,321,883"
2004,MT,Total Electric Power Industry,Petroleum (Barrels),"752,112"
2004,MT,Total Electric Power Industry,Natural Gas (Mcf),"260,677"
2004,MT,Total Electric Power Industry,Other Gases (Billion BTU),237
2004,MT,"Electric Generators, Electric Utilities",Coal (Short Tons),"335,744"
2004,MT,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,343"
2004,MT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"183,562"
2004,MT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"10,986,139"
2004,MT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"40,384"
2004,MT,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"11,377"
2004,MT,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),71
2004,MT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"708,090"
2004,MT,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),165
2004,MT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,296"
2004,MT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"65,738"
2004,NC,Total Electric Power Industry,Coal (Short Tons),"29,812,834"
2004,NC,Total Electric Power Industry,Petroleum (Barrels),"939,570"
2004,NC,Total Electric Power Industry,Natural Gas (Mcf),"21,529,377"
2004,NC,Total Electric Power Industry,Other Gases (Billion BTU),0
2004,NC,"Electric Generators, Electric Utilities",Coal (Short Tons),"28,463,602"
2004,NC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"565,341"
2004,NC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"17,291,113"
2004,NC,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"31,563"
2004,NC,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"3,283,825"
2004,NC,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),0
2004,NC,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,217,945"
2004,NC,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"49,977"
2004,NC,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"847,483"
2004,NC,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),0
2004,NC,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"17,124"
2004,NC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"3,985"
2004,NC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"14,828"
2004,NC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"114,163"
2004,NC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"288,704"
2004,NC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"92,128"
2004,ND,Total Electric Power Industry,Coal (Short Tons),"24,015,611"
2004,ND,Total Electric Power Industry,Petroleum (Barrels),"74,935"
2004,ND,Total Electric Power Industry,Natural Gas (Mcf),"43,877"
2004,ND,Total Electric Power Industry,Other Gases (Billion BTU),256
2004,ND,"Electric Generators, Electric Utilities",Coal (Short Tons),"23,914,567"
